  schema_name   |           function_name            
 public         | delete_expired_notifications
 public         | enforce_stock_id_constraint
 public         | generate_stock_drums
 public         | handle_empty_drums
 public         | handle_new_user
 public         | insert_stock_new
 public         | mass_to_volume
 public         | update_material_code
 public         | update_modified_column
 public         | update_stock_drums_status
 public         | update_stock_new_on_arrival
 public         | update_timestamp
 public         | update_updated_at
 realtime       | apply_rls
 realtime       | broadcast_changes
 realtime       | build_prepared_statement_sql
 realtime       | cast
 realtime       | check_equality_op
 realtime       | is_visible_through_filters
 realtime       | list_changes
 realtime       | quote_wal2json
 realtime       | send
 realtime       | subscription_check_filters
 realtime       | to_regrole
 realtime       | topic
 vault          | create_secret
 vault          | secrets_encrypt_secret_secret
 vault          | update_secret
(199 rows)

